tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1655108601738850304,Count yourself lucky they didn't bring up your Guardian letter about diddling kids.,en,Tweet,0,393,57,19,21939,2023-05-07 17:13:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1655110914008309762,@evanzedi What does it take to get cancelled?!!,en,Reply,0,4,1,1,165,2023-05-07 17:22:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1655110584759721984,"For those asking, here's the letter. https://t.co/cFq8qve4JP",en,Reply,9,148,50,16,7147,2023-05-07 17:21:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/FvgiTg5WYAABa2k.jpg
1655107720985432065,"The latest: Fred has been sending porn to Henrietta, the disabled woman he's been targeting all week. We really are into Silence of The Lambs territory here.",en,Tweet,1,11,6,4,594,2023-05-07 17:10:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1655087845823115264,"A woman incarcerated with men in a NJ prison — where she has been repeatedly threatened and harassed by a male inmate who raped and killed a woman, then drank her blood — writes an essay about her situation.
A trans activist responds by dismissing her for naming men as male. https://t.co/rMkYOWVB9H",en,Retweet,7,376,109,13,20165,2023-05-07 15:51:07,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/FvgNoAKaUAE9WI_.jpg
1655045149456764928,"I suppose when you’re trying to expel a woman for standing up for women’s rights, permitting her to defend herself isn’t a given.

#IstandwithMoiraDeeming https://t.co/KRnhpYJRFz",en,Retweet,0,477,91,24,12192,2023-05-07 13:01:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#IstandwithMoiraDeeming,,photo,https://pbs.twimg.com/media/FvfmySXaAAA2aof.jpg
1655094202840088576,“And at the core of this outrageous spiral of injustice is the narcissism of their accusers and the seductive power of influence.” Me in ⁦@HolyroodDaily⁩ on freedom of speech and how it is ‘cancelled’. https://t.co/JyLSQ6sckR,en,Retweet,12,246,114,18,17876,2023-05-07 16:16:22,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,"https://www.holyrood.com/editors-column/view,there-is-nothing-antitrans-in-standing-up-for-womens-rights",,
1655103739873697793,"“the terms bigotry and transphobia are weaponised day in, day out, not to achieve fairness and equality but simply to damage someone - usually a woman - who has legitimate beliefs protected under the Equality Act 2010.”",en,Retweet,2,64,10,3,8383,2023-05-07 16:54:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654985376572874753,HOW IS EVERYONE FALLING FOR THIS?,en,Tweet,0,187,12,100,46078,2023-05-07 09:03:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1655104040999481345,"@JohnGle18007416 Fuck off, John. Muted.",en,Reply,0,4,0,21,1177,2023-05-07 16:55:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654970700556541952,Remembering Magdalen Berns 💜 https://t.co/ViQcSI96vx,en,Retweet,14,479,87,12,14894,2023-05-07 08:05:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/FvejFDCaMAAW_nD.jpg
1654235675414126595,This NHS worker @Freda_Wa11ace is still using Twitter to bully a severely disabled woman.,en,Tweet,2,364,86,23,36725,2023-05-05 07:24:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654993615578451968,@kgooglywoogly @Quack_Factory @Freda_Wa11ace No he's gay. He just posted a photo of someone blowing him https://t.co/5KxMdmkO5p,en,Reply,0,3,0,0,181,2023-05-07 09:36:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/tweet_video_thumb/Fve36y2WAAYmjlQ.jpg
1654464716595421186,"Sleeping with someone to validate their identity, or as @Docstockk puts it, ""charity work"", is repulsive, and no woman should be shamed into it. But every LGBT group tries to shame lesbians into sleeping with men who identify as women. https://t.co/WGFoMy6w6V",en,Retweet,29,1162,249,75,49777,2023-05-05 22:35:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://unherd.com/2023/05/why-should-lesbians-sleep-with-men/?tl_inbound=1&tl_groups[0]=18743&tl_period_type=3&mc_cid=ba4b6050ea&mc_eid=2892f223c9,,
1654958962905579520,"#Trans identified male #FredaWallace (bully, fetishist, &amp; suspended #NHS worker) in yet ANOTHER attack on @jk_rowling.
#TransPoetryMonth2023 https://t.co/eYfWMUd3hb",en,Retweet,14,159,44,39,13838,2023-05-07 07:18:59,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Trans,#FredaWallace,#NHS,#TransPoetryMonth2023",,photo,https://pbs.twimg.com/ext_tw_video_thumb/1654958869095895041/pu/img/gVLCYi2na1MyVe9G.jpg
1654992429185900548,Disturbing thread on the porn-addicted NHS worker who was harassing a disabled woman this week.,en,Tweet,9,345,78,18,17661,2023-05-07 09:31:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654987620747706369,These massive blokes just won’t stay out of our spaces,en,Retweet,2,333,39,27,16257,2023-05-07 09:12:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654984836346421248,You're welcome https://t.co/bAA84uKrup,en,Tweet,2,9,0,3,5565,2023-05-07 09:01:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://open.spotify.com/playlist/1soi4IaAnKehwKkSh4szW5?si=rXK6leIAS5e3nOPNBVWcIg,,
1654981690580688896,"@Velantha @freyjamidgard @Glinner I'll try and explain it for you. You see, there are these fat incel men these days called transwomen. They're pushing a narrative that says children can be born in the wrong body, and the only cure is to cut those children's bodies up.

This upsets people who aren't pedophiles.",en,Retweet,0,106,19,6,6732,2023-05-07 08:49:17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
1654979673242185728,"Suddenly, freedom of speech is important to Mister Pronouns In The Bio",en,Tweet,2,387,30,53,37931,2023-05-07 08:41:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654970503986118656,Yep. Trans cult teaches you to cut anyone not in the cult from your life.,en,Retweet,1,39,9,1,9076,2023-05-07 08:04:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654800543934558213,@MaryKenny4 Lots of creepy male bullies who want to keep children suspended in a permanent pre-pubescent state are going to come after you now. Please block and ignore their repellent toxicity,en,Retweet,1,76,8,0,6240,2023-05-06 20:49:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1654531481727795211,"A reminder, for the days when you think the shit on here is real, that these rabid little sock accounts belong to exactly who you think they do, and sometimes they forget to switch from their main. 😂 https://t.co/b7VvMzE5fZ",en,Retweet,11,379,58,12,25363,2023-05-06 03:00:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/FvYTcwXWAAI9gcg.png
1654933129323266049,"Quelle surprise. @jolyonmaugham unblocks me; tries to instigate a pile on from his mass following; gets 75k views and 50 likes; reinstates the block. Quite some fellow. Shame: he never got to justify his outrageous attack on the judiciary. Here when you’re ready to do so, Jo. 😘",en,Retweet,3,1115,193,62,91019,2023-05-07 05:36:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
